Shoename,Category,No.Of_colors,Price,Count_of_sizes,Name_ of_colors,Product_code,Review,Sizes,Comfort,Features,star_rating
Columbia Men BLACK Montrail Trinity Fkt,Men,2,"13,999",2,"Black, White", BM6578-010,5,"['UK-8', 'UK-9']",Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Seamless mesh with asy",5
Columbia Men BLUE Montrail Trinity Fkt,Men,2,"13,999",2,"Ocean Blue, Collegiate Navy", BM6578-417,5,"['UK-8', 'UK-9']",Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Seamless mesh with asy",5
Columbia Men BLACK Thrive Revive,Men,3,"6,499",2,"Black, Black", BM8043-010,26,"['UK-7', 'UK-9']",Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Seamless mesh with asy",5
Columbia Men BROWN Thrive Revive,Men,3,"6,499",3,"Dark Stone, Dark Stone", BM8043-278,26,"['UK-8', 'UK-9', 'UK-10']",Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Seamless mesh with asy",5
Columbia Men GREEN Thrive Revive,Men,3,"6,499",3,"Mosstone, Mosstone", BM8043-302,24,"['UK-8', 'UK-9', 'UK-10']",Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Seamless mesh with asy",5
Columbia Men Brown REDMOND V2 MID Water Resistant Shoes,Men,1,"8,999",2,Cordovan, BM0833-231,35,"['UK-7', 'UK-8']","Combination suede leather, mesh and webbing. Omni-Tech™ waterproof breathable seam-sealed membrane bootie construction","Omni-Grip™ non-marking traction rubber
Combination suede leather, mesh and webbing. Omni-Tech™ waterproof breathable seam-sealed membrane bootie construction
Techlite™ lightweight midsole for long lasting comfort, superior cushioning, and high energy",4
Columbia Men Black FACET 60 OUTDRY (Complete Waterproof),Men,3,"15,999",2,"Black, Red Jasper", BM3530-010,12,"['UK-7', 'UK-8']",Fluidframe multidensity underfoot support,"Omni-Grip™ non-marking traction rubber
Fluidframe multidensity underfoot support
Navic Fit System™ delivers a natural midfoot lock down
OutDry™? breathable waterproof protection
TECHLITE PLUS+™ delivers responsive cushioning and stability, without sacr",5
Columbia Men Grey FACET 60 OUTDRY (Complete Waterproof),Men,3,"15,999",3,"Dark Grey, Silver Grey", BM3530-089,12,"['UK-8', 'UK-9', 'UK-10']",Navic Fit Systemdelivers a natural midfoot lock down,"Omni-Gripnon-marking traction rubber
Navic Fit Systemdelivers a natural midfoot lock down
OutDry™? breathable waterproof protection
TECHLITE PLUS+delivers responsive cushioning and stability, without sacrificing comfort
Seamless mesh construction with",5
Columbia Men Orange FACET 60 OUTDRY (Complete Waterproof),Men,3,"15,999",1,"Warm Copper, Black", BM3530-858,19,['UK-9'],Navic Fit System™ delivers a natural midfoot lock down.,"Omni-Grip™ non-marking traction rubber.
Navic Fit System™ delivers a natural midfoot lock down.
OutDry™? breathable waterproof protection.
TECHLITE PLUS+™ delivers responsive cushioning and stability
without sacrificing comfort.
Seamless mesh construction",5
Columbia Men Black FACET 60 OUTDRY (Complete Waterproof),Men,3,"15,999",2,"Black, Red Jasper", BM3530-010,12,"['UK-7', 'UK-8']",Fluidframe multidensity underfoot support,"Omni-Grip™ non-marking traction rubber
Fluidframe multidensity underfoot support
Navic Fit System™ delivers a natural midfoot lock down
OutDry™? breathable waterproof protection
TECHLITE PLUS+™ delivers responsive cushioning and stability, without sacr",5
Columbia Men Grey FACET 60 OUTDRY (Complete Waterproof),Men,3,"15,999",3,"Dark Grey, Silver Grey", BM3530-089,12,"['UK-8', 'UK-9', 'UK-10']",Navic Fit Systemdelivers a natural midfoot lock down,"Omni-Gripnon-marking traction rubber
Navic Fit Systemdelivers a natural midfoot lock down
OutDry™? breathable waterproof protection
TECHLITE PLUS+delivers responsive cushioning and stability, without sacrificing comfort
Seamless mesh construction with",5
Columbia Men Orange FACET 60 OUTDRY (Complete Waterproof),Men,3,"15,999",1,"Warm Copper, Black", BM3530-858,19,['UK-9'],Navic Fit System™ delivers a natural midfoot lock down.,"Omni-Grip™ non-marking traction rubber.
Navic Fit System™ delivers a natural midfoot lock down.
OutDry™? breathable waterproof protection.
TECHLITE PLUS+™ delivers responsive cushioning and stability
without sacrificing comfort.
Seamless mesh construction",5
Columbia Men Black TRAILSTORM Water Resistant Shoes,Men,3,"8,999",1,"Black, Solar", BM0156-010,42,['UK-9.5'],Adapt Trax™? outsole provides exceptional traction in wet and dry conditions,"Navic Fit System™ delivers a natural midfoot lock down
Adapt Trax™? outsole provides exceptional traction in wet and dry conditions
4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability",4
Columbia Men Green TRAILSTORM Water Resistant Shoes,Men,3,"8,999",1,"Dark Moss, Mango", BM0156-367,34,['UK-9'],4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain
TECHLITE PLUS+Single density foam",4
Columbia Men Blue TRAILSTORM Water Resistant Shoes,Men,3,"8,999",1,"Dark Mountain, Steam", BM0156-478,34,['UK-11'],4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain
TECHLITE PLUS+Single density foam",4
Columbia Men Grey RE-PEAK MID,Men,2,"9,999",2,"DARK GREY, BLACK", BM6940-089,0,"['UK-7', 'UK-8']",Recycled mesh upper with eco-friendly leather overlays and lining. Along with recycled laces and webbings,"Omni-Shield water and stain resistant treatment
Recycled mesh upper with eco-friendly leather overlays and lining. Along with recycled laces and webbings
OrthoLite Eco insole is compromised of 17% of total eco content delivering enhanced breathabili",0
Columbia Men Brown RE-PEAK MID,Men,2,"9,999",5,"Canvas Tan, Black", BM6940-247,0,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11']",Recycled mesh upper with eco-friendly leather overlays and lining. Along with recycled laces and webbings,"Omni-Shield water and stain resistant treatment
Recycled mesh upper with eco-friendly leather overlays and lining. Along with recycled laces and webbings
OrthoLite Eco insole is compromised of 17% of total eco content delivering enhanced breathabili",0
Columbia Men Grey CRESTWOOD MID Water Resistant Shoes,Men,4,"9,999",3,"Light Cloud, Sea Salt", BM5371-020,60,"['UK-7', 'UK-8', 'UK-9']",Techlite™ lightweight midsole for long lasting comfort,"Omni-Grip™ non-marking traction rubber.
Techlite™ lightweight midsole for long lasting comfort
superior cushioning
and high energy return.
Combination upper featuring leather
mesh and webbing.
Omni-Tech™ waterproof breathable construction.
Please n",4
Columbia Men Brown CRESTWOOD MID Water Resistant Shoes,Men,4,"9,999",2,"Cordovan, Squash", BM5371-231,58,"['UK-7', 'UK-8']",Techlite™ lightweight midsole for long lasting comfort,"Omni-Grip™ non-marking traction rubber.
Techlite™ lightweight midsole for long lasting comfort
superior cushioning
and high energy return.
Combination upper featuring leather
mesh and webbing.
Omni-Tech™ waterproof breathable construction.
Please n",4
Columbia Men Green Crestwood Mid Water Resistant Shoes,Men,4,"9,999",1,"Nori, Black", BM5371-384,30,['UK-8'],Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men Blue Crestwood Mid Water Resistant Shoes,Men,4,"9,999",3,"Collegiate Navy, Black", BM5371-468,30,"['UK-7', 'UK-8', 'UK-9']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men Grey PEAKFREAK II MID OUTDRY (Complete Waterproof),Men,2,"11,999",2,"DARK GREY, BLACK", BM7573-089,54,"['UK-8', 'UK-9']",TECHLITE PLUS+™ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail.,"eptional traction in wet and dry conditions.
TECHLITE PLUS+™ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail.
NAVIC FIT SYSTEM™ delivers a natural midfoot lock dow",5
Columbia Men Green Peakfreak II Mid Outdry (Complete Waterproof),Men,2,"11,999",1,"Nori, Black", BM7573-383,21,['UK-9'],Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
NAVIC FIT SYSTEM deli",5
Columbia Men Black Facet 75 Mid Outdry (Complete Waterproof),Men,2,"16,999",2,"Black, Light Sand", BM7615-010,0,"['UK-8', 'UK-9']",Hike Specific Traction with 5mm Lug Heights,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Hike Specific Traction with 5mm Lug Heights
OrthoLite Eco insole is compromised of 17% of total eco content delivering enhanced breathability and lightweight long term cushion",0
Columbia Men Green Facet 75 Mid Outdry (Complete Waterproof),Men,2,"16,999",2,"Nori, Golden Yellow", BM7615-383,0,"['UK-8', 'UK-9']",Hike Specific Traction with 5mm Lug Heights,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Hike Specific Traction with 5mm Lug Heights
OrthoLite Eco insole is compromised of 17% of total eco content delivering enhanced breathability and lightweight long term cushion",0
Columbia Men Black ESCAPE THRIVE ENDURE (Complete Waterproof),Men,1,"12,999",2,"Black, White", BM4980-010,24,"['UK-7', 'UK-8']",Adapt Trax outsole provides exceptional traction in wet and dry conditions,"Navic Fit System delivers a natural midfoot lock down
Adapt Trax outsole provides exceptional traction in wet and dry conditions
OutDry waterproof, breathable construction
Seamless mesh delivers exceptional fit and support. 3D print provides ligh",4
Columbia Men BLACK Trailstorm Hiker 3 Strap,Men,2,"6,999",1,"Kettle, Black", BM8210-005,4,['UK-10'],Suede and synthetic leather with three hook and loop closure straps for adjustable fit,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Suede and synthetic leather with three hook and loop closure straps for adjustable fit
Techlite+ delivers responsive cushioning and stability
without sacrificing comfort. Su",5
Columbia Men Brown TRAILSTORM HIKER 3 STRAP,Men,2,"6,999",3,"Cordovan, Gold Amber", BM8210-231,4,"['UK-7', 'UK-8', 'UK-10']",Suede and synthetic leather with three hook and loop closure straps for adjustable fit,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Suede and synthetic leather with three hook and loop closure straps for adjustable fit
Techlite+ delivers responsive cushioning and stability
without sacrificing comfort. Su",5
Columbia Men Black TRAILSTORM Water Resistant Shoes,Men,3,"8,999",1,"Black, Solar", BM0156-010,42,['UK-9.5'],Adapt Trax™? outsole provides exceptional traction in wet and dry conditions,"Navic Fit System™ delivers a natural midfoot lock down
Adapt Trax™? outsole provides exceptional traction in wet and dry conditions
4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability",4
Columbia Men Green TRAILSTORM Water Resistant Shoes,Men,3,"8,999",1,"Dark Moss, Mango", BM0156-367,34,['UK-9'],4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain
TECHLITE PLUS+Single density foam",4
Columbia Men Blue TRAILSTORM Water Resistant Shoes,Men,3,"8,999",1,"Dark Mountain, Steam", BM0156-478,34,['UK-11'],4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
4 mm outsole lugs with angular front and rear orientations provide the optimal balance between traction and durability on multi-directional terrain
TECHLITE PLUS+Single density foam",4
Columbia Men BLACK Montrail Trinity Fkt,Men,2,"13,999",2,"Black, White", BM6578-010,5,"['UK-8', 'UK-9']",Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Seamless mesh with asy",5
Columbia Men BLUE Montrail Trinity Fkt,Men,2,"13,999",2,"Ocean Blue, Collegiate Navy", BM6578-417,5,"['UK-8', 'UK-9']",Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite plus Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Seamless mesh with asy",5
Columbia Men Green FACET 75 OUTDRY (Complete Waterproof),Men,2,"15,999",2,"Nori, Black", BM8538-383,0,"['UK-8', 'UK-9']",Hike Specific Traction with 5mm Lug Heights,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Hike Specific Traction with 5mm Lug Heights
OrthoLite Eco insole is compromised of 17% of total eco content delivering enhanced breathability and lightweight long term cushion",0
Columbia Men Grey Facet 75 Outdry (Complete Waterproof),Men,2,"15,999",2,"Ti Grey Steel, Spicy", BM8538-033,0,"['UK-7', 'UK-8']",Hike Specific Traction with 5mm Lug Heights,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Hike Specific Traction with 5mm Lug Heights
OrthoLite Eco insole is compromised of 17% of total eco content delivering enhanced breathability and lightweight long term cushion",0
Columbia Men Green FACET 75 OUTDRY (Complete Waterproof),Men,2,"15,999",2,"Nori, Black", BM8538-383,0,"['UK-8', 'UK-9']",Hike Specific Traction with 5mm Lug Heights,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Hike Specific Traction with 5mm Lug Heights
OrthoLite Eco insole is compromised of 17% of total eco content delivering enhanced breathability and lightweight long term cushion",0
Columbia Men Grey Facet 75 Outdry (Complete Waterproof),Men,2,"15,999",2,"Ti Grey Steel, Spicy", BM8538-033,0,"['UK-7', 'UK-8']",Hike Specific Traction with 5mm Lug Heights,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Hike Specific Traction with 5mm Lug Heights
OrthoLite Eco insole is compromised of 17% of total eco content delivering enhanced breathability and lightweight long term cushion",0
Columbia Men Black Facet 75 Mid Outdry (Complete Waterproof),Men,2,"16,999",2,"Black, Light Sand", BM7615-010,0,"['UK-8', 'UK-9']",Hike Specific Traction with 5mm Lug Heights,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Hike Specific Traction with 5mm Lug Heights
OrthoLite Eco insole is compromised of 17% of total eco content delivering enhanced breathability and lightweight long term cushion",0
Columbia Men Green Facet 75 Mid Outdry (Complete Waterproof),Men,2,"16,999",2,"Nori, Golden Yellow", BM7615-383,0,"['UK-8', 'UK-9']",Hike Specific Traction with 5mm Lug Heights,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Hike Specific Traction with 5mm Lug Heights
OrthoLite Eco insole is compromised of 17% of total eco content delivering enhanced breathability and lightweight long term cushion",0
Columbia Men Grey PEAKFREAK II MID OUTDRY (Complete Waterproof),Men,2,"11,999",2,"DARK GREY, BLACK", BM7573-089,54,"['UK-8', 'UK-9']",TECHLITE PLUS+™ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail.,"eptional traction in wet and dry conditions.
TECHLITE PLUS+™ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail.
NAVIC FIT SYSTEM™ delivers a natural midfoot lock dow",5
Columbia Men Green Peakfreak II Mid Outdry (Complete Waterproof),Men,2,"11,999",1,"Nori, Black", BM7573-383,21,['UK-9'],Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
NAVIC FIT SYSTEM deli",5
Columbia Men Black PEAKFREAK II OUTDRY (Complete Waterproof),Men,2,"10,999",2,"Black, White", BM5953-012,31,"['UK-7', 'UK-8']",TECHLITE PLUS+™ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail.,"eptional traction in wet and dry conditions.
TECHLITE PLUS+™ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail.
NAVIC FIT SYSTEM™ delivers a natural midfoot lock dow",5
Columbia Men Brown Peakfreak II Outdry (Complete Waterproof),Men,2,"10,999",4,"Canvas Tan, Black", BM5953-247,21,"['UK-7', 'UK-8', 'UK-9', 'UK-10']",Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
NAVIC FIT SYSTEM deli",5
Columbia Men Grey CRESTWOOD MID Water Resistant Shoes,Men,4,"9,999",3,"Light Cloud, Sea Salt", BM5371-020,60,"['UK-7', 'UK-8', 'UK-9']",Techlite™ lightweight midsole for long lasting comfort,"Omni-Grip™ non-marking traction rubber.
Techlite™ lightweight midsole for long lasting comfort
superior cushioning
and high energy return.
Combination upper featuring leather
mesh and webbing.
Omni-Tech™ waterproof breathable construction.
Please n",4
Columbia Men Brown CRESTWOOD MID Water Resistant Shoes,Men,4,"9,999",2,"Cordovan, Squash", BM5371-231,58,"['UK-7', 'UK-8']",Techlite™ lightweight midsole for long lasting comfort,"Omni-Grip™ non-marking traction rubber.
Techlite™ lightweight midsole for long lasting comfort
superior cushioning
and high energy return.
Combination upper featuring leather
mesh and webbing.
Omni-Tech™ waterproof breathable construction.
Please n",4
Columbia Men Green Crestwood Mid Water Resistant Shoes,Men,4,"9,999",1,"Nori, Black", BM5371-384,30,['UK-8'],Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men Blue Crestwood Mid Water Resistant Shoes,Men,4,"9,999",3,"Collegiate Navy, Black", BM5371-468,30,"['UK-7', 'UK-8', 'UK-9']",Techlite lightweight midsole for long lasting comfort,"Omni-Grip non-marking traction rubber
Techlite lightweight midsole for long lasting comfort
superior cushioning
and high energy return
Combination upper featuring leather
mesh and webbing
Omni-Tech waterproof breathable construction.",4
Columbia Men GREEN HATANA MAX OUTDRY,Men,2,"10,999",1,"Deep Water, Spark", BM0659-317,0,['UK-12'],Adapt Trax outsole provides exceptional traction in wet and dry conditions,"Navic Fit System delivers a natural midfoot lock down
Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior co",0
Columbia Men Black HATANA MAX OUTDRY (Complete Waterproof),Men,2,"10,999",3,"Black, White", BM0659-010,0,"['UK-7', 'UK-9', 'UK-10']",Adapt Trax outsole provides exceptional traction in wet and dry conditions.,"Navic Fit System delivers a natural midfoot lock down.
Adapt Trax outsole provides exceptional traction in wet and dry conditions.
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfo",0
Columbia Men Black EXPEDITIONIST BOOT Water Resistant Shoes,Men,1,"15,999",2,"Black, Graphite", BM8525-010,30,"['UK-8', 'UK-9']",TECHLITE PLUS+™ delivers responsive cushioning and stability,"Adapt Trax™ outsole provides exceptional traction in wet and dry conditions.
TECHLITE PLUS+™ delivers responsive cushioning and stability
without sacrificing comfort.
Waterproof full grain
saline resistant leather upper with metal hardware. Omni-Heat™ Infi",4
Columbia Men Black TRAILSTORM PEAK MID,Men,2,"10,399",5,"Kettle, Black", BM5578-005,32,"['UK-7', 'UK-8', 'UK-9', 'UK-10', 'UK-11']",TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Omni-Shieldwater and stain",5
Columbia Men Brown TRAILSTORM PEAK MID,Men,2,"10,399",2,"Cordovan, Black", BM5578-231,31,"['UK-8', 'UK-10']",TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Omni-Shieldwater and stain",5
Columbia Women Black TRAILSTORM PEAK MID,Women,2,"10,399",3,"Black, Dark Grey", BL5578-010,0,"['UK-5', 'UK-6', 'UK-7']",TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Omni-Shieldwater and stain",0
Columbia Women Grey TRAILSTORM PEAK MID,Women,2,"10,399",5,"Graphite, Icy Morn", BL5578-053,0,"['UK-4', 'UK-5', 'UK-6', 'UK-7', 'UK-8']",TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Omni-Shieldwater and stain",0
Columbia Women Black TRAILSTORM PEAK MID,Women,2,"10,399",3,"Black, Dark Grey", BL5578-010,0,"['UK-5', 'UK-6', 'UK-7']",TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Omni-Shieldwater and stain",0
Columbia Women Grey TRAILSTORM PEAK MID,Women,2,"10,399",5,"Graphite, Icy Morn", BL5578-053,0,"['UK-4', 'UK-5', 'UK-6', 'UK-7', 'UK-8']",TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail,"Adapt Traxoutsole provides exceptional traction in wet and dry conditions
TECHLITE PLUS+Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail
Omni-Shieldwater and stain",0
Columbia Women Green COLUMBIA VENT AERO,Women,2,"6,299",5,"Icy Morn, Black", BL0159-329,41,"['UK-4', 'UK-5', 'UK-6', 'UK-7', 'UK-8']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling
Mesh upper with synthetic overlays and heel cap. Sock-like fit.",4
Columbia Women Black COLUMBIA VENT AERO,Women,2,"6,299",5,"Black, Velvet Cove", BL0159-010,41,"['UK-4', 'UK-5', 'UK-6', 'UK-7', 'UK-8']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling
Mesh upper with synthetic overlays and heel cap. Sock-like fit.",4
Columbia Women Green COLUMBIA VENT AERO,Women,2,"6,299",5,"Icy Morn, Black", BL0159-329,41,"['UK-4', 'UK-5', 'UK-6', 'UK-7', 'UK-8']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling
Mesh upper with synthetic overlays and heel cap. Sock-like fit.",4
Columbia Women Black COLUMBIA VENT AERO,Women,2,"6,299",5,"Black, Velvet Cove", BL0159-010,41,"['UK-4', 'UK-5', 'UK-6', 'UK-7', 'UK-8']","Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling","Omni-Gripnon-marking traction rubber
Techlitelightweight midsole for long lasting comfort, superior cushioning, and high energy return. Midsole ports for air ventilation and cooling
Mesh upper with synthetic overlays and heel cap. Sock-like fit.",4
Columbia Women Black MINX SLIP IV Water Resistant Shoes,Women,2,"10,999",5,"Black, Graphite", BL9797-010,0,"['UK-4', 'UK-5', 'UK-6', 'UK-7', 'UK-8']",Removable contoured PU footbed.,"Omni-Grip non-marking traction rubber.
Removable contoured PU footbed.
200g insulation.
Omni-Heat reflective lining.
Waterproof quilted upper with elastic gore enclosure and webbing details.
Omni-Tech waterproof breathable construction.
Please note:",0
Columbia Women White MINX SLIP IV Water Resistant Shoes,Women,2,"10,999",5,"Sea Salt, Light Cloud", BL9797-125,0,"['UK-4', 'UK-5', 'UK-6', 'UK-7', 'UK-8']",Removable contoured PU footbed.,"Omni-Grip non-marking traction rubber.
Removable contoured PU footbed.
200g insulation.
Omni-Heat reflective lining.
Waterproof quilted upper with elastic gore enclosure and webbing details.
Omni-Tech waterproof breathable construction.
Please note:",0
Columbia Women Black HATANA MAX OUTDRY (Complete Waterproof),Women,4,"10,999",2,"Black, White", BL0659-012,39,"['UK-5', 'UK-7']",Durable closed mesh with synthetic overlays and TPU Midfoot Structure for extra protection. Outdry™ waterproof,"sole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail.
Durable closed mesh with synthetic overlays and TPU Midfoot Structure for extra protection. Outdry™ waterproof
breathable constructio",4
Columbia Women Grey HATANA MAX OUTDRY (Complete Waterproof),Women,4,"10,999",3,"Dark Grey, Electric Turquoise", BL0659-089,29,"['UK-5', 'UK-6', 'UK-7']",Durable closed mesh with synthetic overlays and TPU Midfoot Structure for extra protection. Outdry™ waterproof,"sole delivers a responsive underfoot cushioning experience while providing superior comfort and stability on the trail.
Durable closed mesh with synthetic overlays and TPU Midfoot Structure for extra protection. Outdry™ waterproof
breathable constructio",4
Columbia Women Black Hatana Max Outdry (Complete Waterproof),Women,4,"10,999",5,"Black, White", BL0659-010,29,"['UK-4', 'UK-5', 'UK-6', 'UK-7', 'UK-8']",Adapt Trax outsole provides exceptional traction in wet and dry conditions,"Navic Fit System delivers a natural midfoot lock down
Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior co",4
Columbia Women Brown Hatana Max Outdry (Complete Waterproof),Women,4,"10,999",5,"Ancient Fossil, Wild Geranium", BL0659-271,35,"['UK-4', 'UK-5', 'UK-6', 'UK-7', 'UK-8']",Adapt Trax outsole provides exceptional traction in wet and dry conditions,"Navic Fit System delivers a natural midfoot lock down
Adapt Trax outsole provides exceptional traction in wet and dry conditions
Techlite+ Single density foam midsole delivers a responsive underfoot cushioning experience while providing superior co",4
